feature,importance,raw,pct
ff49_24,0.0030878003758810207,23665.3467335701,0.0030878003758810207
ff49_7,0.0030518130324392757,23389.534551143646,0.0030518130324392757
ix_vol_6m_x_manufacturing_employment,0.0030426281822059148,23319.14053630829,0.0030426281822059148
bm,0.0030002099190944605,22994.04085946083,0.0030002099190944605
evm,0.0029957414120701793,22959.79357814789,0.0029957414120701793
realized_vol_trend3,0.0028949992920936493,22187.69146347046,0.0028949992920936493
total_vol,0.0028131965538041002,21560.743497371674,0.0028131965538041002
ffi5,0.0027846508681592776,21341.965251922607,0.0027846508681592776
insider_num_sells,0.0027444044084224046,21033.510588884354,0.0027444044084224046
net_operating_assets,0.00273778439162388,20982.77382683754,0.00273778439162388
ff49_14,0.002732300989468719,20940.74824309349,0.002732300989468719
fcf_ocf,0.002730322478520951,20925.58465027809,0.002730322478520951
pe_inc,0.0027294194021846834,20918.663343191147,0.0027294194021846834
ff49_29,0.002688258178843342,20603.197800159454,0.002688258178843342
ff49_11,0.00263996471111266,20233.069709062576,0.00263996471111266
accrual,0.0026292704551653784,20151.10739147663,0.0026292704551653784
beat_miss_streak,0.0026121877856030424,20020.18335199356,0.0026121877856030424
pe_exi,0.0026076127255502545,19985.119432926178,0.0026076127255502545
roce,0.0025581581142259217,19606.092170119286,0.0025581581142259217
vol_6m,0.0025489216621320415,19535.302671194077,0.0025489216621320415
sue,0.00254632195376023,19515.378131866455,0.00254632195376023
roa,0.0025242621916505836,19346.308938384056,0.0025242621916505836
analyst_revision,0.0025032281817058463,19185.10125720501,0.0025032281817058463
ix_realized_vol_x_cpi,0.002499828995701038,19159.049406170845,0.002499828995701038
ix_up_vol_x_nonfarm_payrolls,0.0024908616235334523,19090.322174549103,0.0024908616235334523
ff49_21,0.0024338569428176194,18653.430092692375,0.0024338569428176194
ff49_17,0.0024270311940317838,18601.116571068764,0.0024270311940317838
n_months,0.0024213065080510316,18557.241753339767,0.0024213065080510316
intcov_ratio,0.002408683080820089,18460.493989229202,0.002408683080820089
ix_up_vol_x_housing_starts,0.002393443550717207,18343.69603598118,0.002393443550717207
ix_vol_3m_x_initial_claims,0.0023881931504374176,18303.45621216297,0.0023881931504374176
npm,0.0023812432194340637,18250.190940141678,0.0023812432194340637
profit_lct,0.0023529659920625934,18033.470197558403,0.0023529659920625934
revenue_share,0.002340839237411233,17940.529003620148,0.002340839237411233
ix_mom_6m_x_initial_claims,0.002332823042386624,17879.091730594635,0.002332823042386624
sga_efficiency,0.0022696245005091537,17394.729004859924,0.0022696245005091537
ff49_0,0.002267891716384905,17381.448697805405,0.002267891716384905
ffi10,0.0022176979262387444,16996.75626206398,0.0022176979262387444
pretret_earnat,0.0022013094166075027,16871.152364253998,0.0022013094166075027
quick_ratio,0.0021799915269261616,16707.76898789406,0.0021799915269261616
revenue_acceleration,0.002138412985725908,16389.105060696602,0.002138412985725908
pcf,0.0021149253046933575,16209.092090964317,0.0021149253046933575
roa_vs_industry,0.0021023948207757317,16113.056657791138,0.0021023948207757317
curr_ratio,0.0020798793418273457,15940.494784832,0.0020798793418273457
unemployment_rate,0.00207941048822863,15936.901423335075,0.00207941048822863
ix_vol_6m_x_nonfarm_payrolls,0.0020684376190885584,15852.803774118423,0.0020684376190885584
revenue_growth_yoy,0.0020317661422511557,15571.748294830322,0.0020317661422511557
divyield,0.002027559533861674,15539.508242368698,0.002027559533861674
alpha,0.0020094745385906025,15400.902234315872,0.0020094745385906025
gross_margin_vol,0.0019966508067461326,15302.61930680275,0.0019966508067461326
inst_breadth,0.001942496233522924,14887.570859193802,0.001942496233522924
sue_ibes,0.0018889727744313017,14477.359361171722,0.0018889727744313017
opmbd,0.001872395614822115,14350.309622764587,0.001872395614822115
ix_mom_6m_x_manufacturing_employment,0.0018655451349597378,14297.806558609009,0.0018655451349597378
ix_mom_6m_x_retail_sales,0.0018449023890719652,14139.597581505775,0.0018449023890719652
npm_vs_industry,0.0018423678485997937,14120.172498345375,0.0018423678485997937
ffi30,0.0017712924348437312,13575.44029223919,0.0017712924348437312
eps_estimate_momentum,0.0017697631345868921,13563.719514846802,0.0017697631345868921
ix_mom_6m_x_durable_goods_orders,0.0017300400104256128,13259.275771021843,0.0017300400104256128
be,0.0017261103072737404,13229.157960176468,0.0017261103072737404
aftret_eq,0.0016874303125979375,12932.708910942078,0.0016874303125979375
debt_ebitda,0.0016855796528286093,12918.525187969208,0.0016855796528286093
aftret_equity,0.001663754926735716,12751.25734436512,0.001663754926735716
ffi38,0.0016587673086445442,12713.031521081924,0.0016587673086445442
ix_vol_6m_x_housing_starts,0.001644761907398094,12605.692109107971,0.001644761907398094
debt_to_equity_change,0.0016437089467373769,12597.62206697464,0.0016437089467373769
ix_market_cap_x_durable_goods_orders,0.0016165824360757056,12389.720582962036,0.0016165824360757056
ffi17,0.001613843648804785,12368.730122923851,0.001613843648804785
ix_mom_6m_x_housing_starts,0.0015701677810273887,12033.99198281765,0.0015701677810273887
ix_mom_6m_x_commercial_loans,0.0015671163174291998,12010.60512638092,0.0015671163174291998
altman_z_score,0.0015570643830360006,11933.565653681755,0.0015570643830360006
ix_sp500_member_x_manufacturing_employment,0.001552144504941881,11895.858999490738,0.001552144504941881
non_current_accruals,0.0015305863229034993,11730.633987903595,0.0015305863229034993
ix_mom_6m_x_case_shiller_hpi,0.0015290727640122337,11719.033854603767,0.0015290727640122337
rec_score,0.0015129044200493402,11595.117338180542,0.0015129044200493402
ix_vol_3m_x_manufacturing_employment,0.0015120953201334145,11588.916279911995,0.0015120953201334145
ix_vol_6m_x_building_permits,0.0015071836816977645,11551.272775650024,0.0015071836816977645
ccc_trend,0.0014976328891530455,11478.074126243591,0.0014976328891530455
cash_conversion_cycle,0.0014910484415667927,11427.609971761703,0.0014910484415667927
ix_log_price_x_building_permits,0.001483620021818508,11370.677493095398,0.001483620021818508
invt_act,0.0014776849213262943,11325.190028250217,0.0014776849213262943
sp500_member_lag3,0.0014434140178496949,11062.532888889313,0.0014434140178496949
