date,ic,n_stocks
2017-03-31,0.19831485687576078,3579
2017-04-30,0.14591378688449183,3577
2017-05-31,0.07270163385022098,3585
2017-06-30,0.1805337189942249,3576
2017-07-31,0.11584006847366682,3587
2017-08-31,0.028623781567579713,3585
2017-09-30,0.24521738001194657,3574
2017-10-31,0.05182070849825204,3556
2017-11-30,0.02017552329488389,3557
2017-12-31,0.10531749395673452,3561
2018-01-31,0.07713050784816791,3563
2018-02-28,0.0862897873953933,3559
2018-03-31,0.010374230635814188,3557
2018-04-30,-0.0026419959207757355,3555
2018-05-31,0.079334790157725,3560
2018-06-30,0.20403977660456285,3565
2018-07-31,-0.017164788699978825,3585
2018-08-31,0.037368821822225506,3594
2018-09-30,0.2218190997851554,3599
2018-10-31,0.17793548608807022,3594
2018-11-30,0.24538252282716103,3596
